branch Q_B q_B Pval SignRandPval
q_r 1.031 -1.015 0.309953676603394 0.353
s_r 1.031 1.015 0.309953676603394 0.353
t_s 0.459 -0.677 0.498193701424125 0.564
u_t 0.004 0.061 0.951676782847419 0.953
v_s 3.199 1.789 0.073681423525525 0.086
BEB_v 2.847 1.687 0.0915266607651413 0.123
MSL_q 1.144 -1.069 0.284885626966068 0.336
YRI_q 0.857 -0.926 0.354534756942285 0.385
IBS_u 0.032 0.179 0.857991806897089 0.884
GBR_u 0.003 -0.058 0.953758902773307 0.966
STU_v 0.391 0.625 0.531711586409894 0.514
w_BEB 2.847 1.687 0.0915266607651413 0.123
x_w 1.562 1.25 0.211410736827704 0.249
y_t 5.165 -2.273 0.0230520030373447 0.033
y_x 5.165 -2.273 0.0230520030373447 0.033
JPT_x 6.362 2.522 0.0116610623360089 0.014
CHB_w 4.152 2.038 0.0415771120141174 0.061
PEL_y 5.165 -2.273 0.0230520030373447 0.033
Total 15.468 NaN 0.0506547106800791 0.037
