branch Q_B q_B Pval SignRandPval
q_r 9.164 3.027 0.00246867923199134 0.003
s_r 9.164 -3.027 0.00246867923199134 0.003
t_s 1.69 -1.3 0.193566393129849 0.179
u_t 0.276 0.525 0.599344504732326 0.574
v_s 6.801 -2.608 0.00910832477578272 0.017
BEB_v 1.729 -1.315 0.188593395806446 0.218
MSL_q 7.339 2.709 0.00674575935640609 0.006
YRI_q 10.499 3.24 0.00119461398819787 0.001
IBS_u 1.313 1.146 0.251796241086951 0.231
GBR_u 0.012 -0.108 0.91401165705977 0.924
STU_v 16.122 -4.015 5.93861565354459e-05 0
w_BEB 1.729 -1.315 0.188593395806446 0.218
x_w 2.796 -1.672 0.0945042085108095 0.121
y_t 31.085 -5.575 2.46947912119211e-08 0
y_x 31.085 -5.575 2.46947912119211e-08 0
JPT_x 0.406 0.637 0.524008528392833 0.567
CHB_w 0.571 -0.755 0.449960918233727 0.483
PEL_y 31.085 -5.575 2.46947912119211e-08 0
Total 69.642 NaN 5.79003511802512e-12 0
