branch Q_B q_B Pval SignRandPval
q_r 2.436 -1.561 0.118542410593481 0.216
s_r 2.436 1.561 0.118542410593481 0.216
t_s 6.2 2.49 0.0127751883529797 0.035
u_t 6.711 2.591 0.00958282542350097 0.02
v_s 0.022 -0.149 0.881757912763549 0.879
BEB_v 0.612 -0.782 0.434151284621373 0.396
MSL_q 2.597 -1.612 0.107035804145725 0.209
YRI_q 2.119 -1.456 0.145449625939142 0.235
IBS_u 6.555 2.56 0.0104613065599336 0.02
GBR_u 6.145 2.479 0.0131814522586362 0.033
STU_v 2.844 1.686 0.0917139479724484 0.125
w_BEB 0.612 -0.782 0.434151284621373 0.396
x_w 0.388 -0.623 0.533552667485705 0.539
y_t 0 0.009 0.993049410176318 0.984
y_x 0 0.009 0.993049410176318 0.984
JPT_x 0.538 -0.733 0.463289673268901 0.388
CHB_w 0.797 -0.893 0.371955685513057 0.288
PEL_y 0 0.009 0.993049410176318 0.984
Total 8.377 NaN 0.397497915185323 0.358
