branch Q_B q_B Pval SignRandPval
q_r 0.144 0.379 0.704562947098183 0.753
s_r 0.144 -0.379 0.704562947098183 0.753
t_s 1.545 1.243 0.213945852419148 0.369
u_t 0.89 0.943 0.345601850606312 0.514
v_s 2.192 -1.48 0.13876737494123 0.213
BEB_v 0.594 -0.771 0.44070320706929 0.551
MSL_q 0.127 0.357 0.72122051716675 0.763
YRI_q 0.151 0.388 0.697767253271295 0.739
IBS_u 0.977 0.988 0.323059439588234 0.479
GBR_u 0.719 0.848 0.396521205691365 0.551
STU_v 4.894 -2.212 0.0269431528816511 0.037
w_BEB 0.594 -0.771 0.44070320706929 0.551
x_w 0.004 -0.065 0.948450022156606 0.958
y_t 1.086 1.042 0.297373385893475 0.412
y_x 1.086 1.042 0.297373385893475 0.412
JPT_x 0.315 -0.561 0.574817201561537 0.659
CHB_w 2.355 -1.534 0.124912338278998 0.228
PEL_y 1.086 1.042 0.297373385893475 0.412
Total 12.824 NaN 0.118052618801278 0.13
