chr	pos	bstat
1	9875633	644
1	11207269	294
1	16016376	440
1	16050521	459
1	20686162	771
1	20729451	843
1	20757418	867
1	22702231	878
1	26482411	478
1	26919414	590
1	32173301	503
1	33189011	529
1	36760590	436
1	39637305	100
1	39904612	70
1	40023047	232
1	45920108	159
1	46325002	95
1	46595696	109
1	50945526	365
1	51457200	408
1	51571884	467
1	64107284	905
1	64316808	937
1	65987164	766
1	72387666	839
1	72814783	886
1	72955823	937
1	75621115	755
1	84323701	702
1	96439339	860
1	98886596	812
1	102245018	912
1	109817590	645
1	117491123	646
1	117532790	549
1	117554421	590
1	118141492	695
1	118143517	678
1	120474178	238
1	146714427	538
1	151008928	148
1	151115186	124
1	151377407	192
1	155249698	41
1	172361516	542
1	177778091	878
1	177868882	741
1	177889480	742
1	177930642	772
1	179071756	484
1	184035116	829
1	201760981	574
1	201797696	303
1	203507569	911
1	203526353	908
1	204490674	582
1	204566700	617
1	205034723	502
1	205722958	561
1	205762139	561
1	210265384	707
1	213939179	945
1	214013559	916
1	214159256	867
1	214287420	928
1	219664627	887
1	219748818	863
1	219756559	885
1	219797675	922
1	229594310	520
1	236415444	752
1	236775649	594
1	242990382	951
2	619641	982
2	621254	982
2	653874	982
2	5831932	900
2	16569224	976
2	16574669	963
2	18707873	934
2	25393722	568
2	25533568	720
2	25596061	735
2	25718052	710
2	27389195	150
2	27730940	92
2	27745946	122
2	27830067	104
2	43421461	917
2	43541598	696
2	52545490	968
2	53972693	411
2	58961136	811
2	59027954	798
2	59139507	884
2	59306564	722
2	60532802	845
2	60539612	839
2	60540393	833
2	60557031	794
2	60580910	735
2	60586707	739
2	65246123	684
2	65284231	626
2	65544862	752
2	65635688	781
2	65654364	817
2	65655613	817
2	65709785	866
2	65716263	894
2	66677531	670
2	67621067	661
2	85973618	813
2	105167888	929
2	111616141	806
2	111805775	900
2	111931072	758
2	112253851	925
2	112823320	684
2	120299172	764
2	121221823	952
2	121318166	970
2	121326123	970
2	121347612	975
2	121348224	975
2	121438846	970
2	121444994	970
2	139401178	856
2	146380936	873
2	147862399	830
2	147906906	894
2	149568396	682
2	152159880	673
2	158848804	876
2	163649480	845
2	165401801	643
2	165451762	806
2	165508389	568
2	165565583	612
2	165586950	608
2	165620175	659
2	165645220	694
2	165658890	698
2	165667643	700
2	165737931	712
2	165817419	731
2	166583141	503
2	171681983	666
2	172407755	701
2	181369216	879
2	181570507	833
2	196884410	340
2	203051886	362
2	203365009	275
2	203450680	311
2	205375913	901
2	208890373	707
2	212250195	477
2	212258353	541
2	212300055	656
2	219160864	459
2	226850226	963
2	227100490	920
2	227184088	961
2	227185749	957
2	227198158	963
2	227205605	947
2	229010927	861
2	233706847	479
2	234189406	658
2	234246370	693
2	234306982	666
2	238985747	835
3	7981968	961
3	9437461	456
3	9540323	598
3	12156316	674
3	12189510	672
3	12283571	793
3	12294202	803
3	12340267	788
3	12391207	713
3	12461615	757
3	12468410	807
3	12473045	812
3	12493079	808
3	13354552	734
3	15964140	550
3	21813816	986
3	23102863	975
3	23183668	955
3	23190314	948
3	23203454	916
3	23236109	928
3	23407658	872
3	23464458	894
3	23477816	888
3	23497705	871
3	23639754	927
3	23644464	958
3	30059112	882
3	46703814	243
3	46925539	66
