chr	pos	bstat
1	7974544	791
1	10765754	894
1	10796866	905
1	27832847	355
1	27972058	572
1	63785389	870
1	93355254	596
1	113042558	618
1	113046879	600
1	113085197	218
1	151512895	395
1	153856498	40
1	155178782	70
1	155468732	49
1	177843588	847
1	200541573	574
1	209074740	973
1	214318748	920
2	26920025	634
2	26938216	604
2	26965198	466
2	53887100	521
2	54734484	543
2	54969379	583
2	54976743	619
2	55041322	619
2	55071768	607
2	58854686	778
2	98343254	365
2	99359213	464
2	99979501	182
2	110264713	873
2	122039095	894
2	135592345	739
2	146346331	944
2	162587828	598
2	164444419	823
2	164833680	820
2	165011827	829
2	165147522	823
2	191488020	601
2	217924153	937
2	237124209	971
2	240193575	988
3	14895105	905
3	23733924	951
3	27510737	410
3	27539949	527
3	27592860	751
3	46892161	115
3	51503887	5
3	53473900	516
3	53556223	642
3	53562894	626
3	53590465	645
3	53633122	671
3	53798334	533
3	53842251	598
3	53861023	624
3	53862116	628
3	53874025	653
3	53888840	640
3	53913205	573
3	56901603	813
3	56950852	812
3	113912270	585
3	114822794	647
3	115097587	911
3	143933565	869
3	169477506	539
3	183520112	459
3	185613363	840
3	187909114	961
4	10662174	908
4	15384544	745
4	54790054	831
4	81155937	866
4	81167508	834
4	81181072	801
4	86701617	861
4	106910958	867
4	111310353	940
4	111333601	917
4	115909768	769
4	147659983	830
4	147679906	787
4	147892621	780
4	177417166	937
5	30892507	928
5	32829929	781
5	38210894	931
5	38605357	787
5	52195507	747
5	72991289	866
5	87970352	609
5	93839136	655
5	94093640	631
5	102294783	346
5	102546615	252
5	124300777	949
5	147104275	816
5	148347543	668
5	148400668	522
5	156666163	713
5	158220193	719
5	173807972	986
5	174238893	988
6	25179357	912
6	39973445	900
6	43262704	185
6	43353635	199
6	43408105	280
6	43762287	830
6	55531822	791
6	80154074	805
6	97845951	709
6	101872125	927
6	126122280	710
6	127146879	725
6	134948543	850
6	135028384	897
6	135108042	879
6	135127564	891
6	137048914	797
6	153148410	876
6	156786571	958
7	1038627	895
7	19052733	893
7	19140968	938
7	22885418	855
7	26008233	881
7	27190398	281
7	27243962	415
7	27348450	726
7	29103222	849
7	33861180	913
7	138627696	910
8	17428591	851
8	57341785	793
8	76484284	780
8	76578014	777
8	76701065	844
8	76880130	762
8	76953258	802
8	77083682	757
8	77207076	839
8	95700688	516
8	106060970	915
8	106641544	730
8	110123183	428
8	140926772	962
8	143982961	970
9	4130147	858
9	6978691	892
9	7345304	974
9	90299558	799
9	90982143	715
9	97785248	600
9	118111343	904
9	118351011	889
9	118372914	736
9	128438005	385
10	10194737	988
10	60279634	866
10	62975366	835
10	64588209	814
10	90985948	856
10	96039597	419
10	96044734	413
10	102392746	736
10	102752162	180
10	104222377	210
10	104521661	179
10	104707016	134
10	104869531	98
10	104958900	141
10	105213765	156
10	105688050	610
10	115738559	795
10	115744435	864
10	123271146	881
10	123327193	905
10	123361363	928
10	123498110	923
10	134281810	988
11	1885225	982
11	1887068	982
11	1941946	976
11	1981550	976
11	2021893	982
11	2030298	988
11	9750757	539
11	9776567	540
11	13281557	905
11	13292261	824
11	47356870	21
11	61277031	694
11	65362041	311
11	76380357	849
11	89224718	916
11	100578884	929
11	112844978	792
11	120144941	851
11	120196433	517
11	128051923	971
11	133154619	960
12	12877692	819
12	20212660	966
12	46088398	524
12	50446403	345
12	80088578	728
12	89839726	587
12	89989599	349
12	90000815	353
12	90045144	455
12	90050914	462
12	90132147	688
12	90203712	680
12	90247669	728
12	111346399	584
12	111357727	603
12	111359712	611
12	111631765	589
12	111692124	555
12	111718231	509
12	111734681	479
12	111783179	359
12	111829557	252
12	111994852	126
12	112239872	100
12	112325766	58
12	112515077	34
12	112678697	38
12	112995718	227
12	113115628	679
12	113196733	734
12	113263518	873
12	113319308	827
12	113490053	889
12	113522774	884
12	115472889	979
12	115513566	983
12	115552878	988
12	117578161	824
12	120758444	519
12	125995351	979
12	131627985	982
12	133117229	856
13	22494503	994
13	22693188	991
13	31045391	876
13	32351162	733
13	41501643	647
13	41618985	669
13	69557671	975
13	69746195	957
13	73085439	952
13	94613191	861
13	101621161	938
14	27574225	973
14	41844310	939
14	70463247	729
14	76569483	853
14	100828625	782
15	50760910	311
15	51062317	409
15	51369937	366
15	52696097	367
15	64264550	681
15	74222987	840
15	74234109	840
15	75086386	397
15	75086589	397
15	85464630	819
15	85471940	819
15	91416550	639
16	49619279	848
16	56512769	473
16	75305331	757
16	80755512	929
16	81619963	975
16	81832987	970
17	1316427	664
17	18289923	391
17	45318146	608
17	45781516	410
17	46692573	424
17	46953258	436
17	59241155	576
17	59472123	699
17	64529642	897
18	721563	823
18	54441197	674
18	55787050	957
19	2224387	964
19	4684642	958
19	10679733	735
19	11293809	814
19	14273641	720
19	14896826	976
19	17183185	923
19	19262300	799
19	19305962	716
19	29369130	988
19	38760692	654
19	45914046	702
20	42795152	888
20	50110558	945
20	55288829	982
20	57472174	894
22	19976406	737
22	20011837	824
22	28306607	470
22	29250505	459
22	29284358	456
