chr	pos	bstat
1	18130969	957
1	110364275	883
1	116085656	883
1	202689028	540
1	226948726	767
2	42604081	619
2	50871418	838
2	52886031	963
2	129543159	970
2	225577791	694
3	6995426	983
3	72294856	973
3	101564596	491
4	167421170	966
4	179715161	994
5	177549802	738
6	16589686	954
6	25951373	515
6	43090754	270
6	117719528	688
7	17109926	942
7	29598302	845
7	46887213	973
7	75371146	946
7	77739434	868
7	115850675	642
7	150705842	809
8	23664632	784
8	59742639	824
9	34039002	300
9	34547423	414
9	86310303	547
9	109981481	934
9	138690389	835
10	33405575	808
10	73784025	554
11	118793613	530
12	25622352	953
12	79908743	719
12	96050887	850
12	111357471	603
12	112437514	45
12	115098094	899
13	42653437	723
13	58070983	817
13	95901076	911
13	106056096	969
14	69169334	881
14	73215706	766
15	48821048	250
15	68113771	530
15	71643787	933
16	72003732	158
16	88744756	835
18	12881361	790
19	50941905	923
20	744415	917
20	8449374	967
20	55804116	852
21	40423471	956
